tv_show_name,episode_season_number,episode_number,comment,nb_likes,nb_points,created_at
Hannibal,2,12,finally,0,0,2022-06-06 09:38:53
Game of Thrones,5,6,Thats latterly true,9,80,2022-08-10 09:52:07
Game of Thrones,5,8,Winter is here,1,10,2022-08-11 07:12:14
Game of Thrones,3,9,😭😭,1,1,2022-11-15 10:48:55
Stranger Things,5,7,😂😂😂,2,1,2025-12-28 01:40:33
Daredevil: Born Again,1,1,How can be fisk out of jail,3,20,2026-02-02 22:39:26
